Twisted Fate (mid)	2.37	0.24	0.82	0.32	0.81	1.6
Dr. Mundo (top)	0.0	-0.48	-0.44	-0.85	-1.46	1.2
Kled (top)	-1.04	1.07	0.89	-0.4	0.82	-1.45
Galio (mid)	0.99	-0.68	0.5	0.33	-0.78	2.03
Xin Zhao (jgl)	-0.44	0.92	0.28	0.44	-0.22	1.17
Kennen (top)	1.48	-0.02	-0.25	0.55	-0.14	3.5
Udyr (jgl)	0.77	0.23	0.72	-0.35	1.29	-1.56
Braum (sup)	-1.81	-0.8	-0.3	1.04	0.2	-1.31
Quinn (top)	1.02	0.66	0.86	0.85	-1.48	0.07
Rumble (top)	0.31	0.03	0.72	1.33	1.32	2.07
Ryze (mid)	0.93	-0.18	0.37	-0.06	0.44	1.5
Tahm Kench (top)	-0.68	0.43	0.36	0.15	-0.01	0.22
Corki (mid)	0.29	0.7	-1.17	0.07	0.19	2.15
Maokai (sup)	-2.01	-0.35	0.09	0.81	0.09	-1.97
Cho'Gath (top)	0.47	0.36	0.1	-0.55	-0.66	-2.19
Annie (mid)	0.22	0.7	0.38	-0.18	0.74	1.45
Rell (sup)	-0.73	-1.84	-0.28	1.67	0.45	1.83
Heimerdinger (mid)	0.0	0.85	-0.66	-1.0	-1.39	3.3
Ziggs (mid)	0.22	0.95	-0.67	-0.8	-0.33	1.04
Neeko (mid)	0.39	-0.19	0.06	0.27	-0.57	1.63
Skarner (jgl)	0.44	0.46	0.24	-0.79	1.97	-0.44
Ivern (jgl)	0.32	1.95	2.0	1.43	1.4	-2.8
Aurelion Sol (mid)	1.1	0.0	0.0	2.41	1.16	-0.13
